date,tic,close,volume,DBSCAN_Anomaly,OCSVM_Anomaly,IsolationForest_Anomaly,Autoencoder_Anomaly,stat_Anomaly
2015-10-20,ARL,7.03000021,1300,0,0,0,0,0
2015-10-20,BH,241.3533325,8850,0,0,0,1,0
2015-10-20,CIX,7.353430271,200,0,0,0,0,0
2015-10-20,FDBC,18.25578117,0,0,0,0,0,0
2015-10-20,GEF,22.46130371,293500,0,0,0,1,0
2015-10-20,NATH,30.34623146,27200,0,0,0,0,0
2015-10-20,NKSH,21.55345345,11100,0,0,0,0,0
2015-10-20,NWFL,13.40410614,2850,0,0,0,0,0
2015-10-20,PLBC,7.648124218,0,0,0,0,0,0
2015-10-20,PNRG,72.0,0,0,0,0,0,0
2015-10-20,QRTEB,15.10489464,100,0,0,0,0,0
2015-10-20,RGCO,10.33126068,5850,0,0,0,1,0
2015-10-20,STRS,13.50568199,5500,0,0,0,0,0
2015-10-20,SWKH,14.5,16880,0,0,0,0,0
2015-10-20,TCI,12.85999966,200,0,0,0,1,0
2015-10-20,VABK,16.41422272,1050,0,0,0,0,0
2015-10-20,VALU,11.50261116,1500,0,0,0,0,0
2015-10-21,ARL,7.03000021,600,0,0,0,0,0
2015-10-21,BH,244.1399994,9300,0,0,0,1,0
2015-10-21,CIX,7.353430271,0,0,0,0,0,0
2015-10-21,FDBC,18.25578117,0,0,0,0,0,0
2015-10-21,GEF,22.88482475,378800,0,0,0,1,0
2015-10-21,NATH,30.98467636,14900,0,1,0,0,0
2015-10-21,NKSH,21.70601845,9800,0,0,0,0,0
2015-10-21,NWFL,13.62360859,1650,0,0,0,0,0
2015-10-21,PLBC,7.648124218,0,0,0,0,0,0
2015-10-21,PNRG,65.09999847,400,0,0,0,0,0
2015-10-21,QRTEB,15.10489464,0,0,0,0,0,0
2015-10-21,RGCO,10.33126068,0,0,0,0,0,0
2015-10-21,STRS,13.48051643,200,0,0,0,0,0
2015-10-21,SWKH,14.30000019,1220,0,1,0,0,0
2015-10-21,TCI,12.57999992,800,0,0,0,0,0
2015-10-21,VABK,16.41422272,210,0,0,0,0,0
2015-10-21,VALU,11.29210758,2300,0,0,0,0,0
2015-10-22,ARL,7.019999981,400,0,0,0,0,0
2015-10-22,BH,248.4333344,6150,0,0,0,1,0
2015-10-22,CIX,7.482435703,700,0,0,0,0,0
2015-10-22,FDBC,18.25578117,0,0,0,0,0,0
2015-10-22,GEF,23.88262939,204700,0,0,0,1,0
2015-10-22,NATH,30.65333939,6300,0,0,0,0,0
2015-10-22,NKSH,22.15678024,6900,0,0,0,0,0
2015-10-22,NWFL,13.50431442,1800,0,0,0,0,0
2015-10-22,PLBC,7.433047295,200,0,0,0,0,0
2015-10-22,PNRG,71.0,300,0,0,0,0,0
2015-10-22,QRTEB,15.10489464,0,0,0,0,0,0
2015-10-22,RGCO,10.26574802,3300,0,0,0,0,0
2015-10-22,STRS,13.67345428,5900,0,0,0,0,0
2015-10-22,SWKH,14.5,220,0,0,0,0,0
2015-10-22,TCI,12.94999981,200,0,0,0,0,0
2015-10-22,VABK,16.41422272,0,0,0,0,0,0
2015-10-22,VALU,11.30714035,1100,0,0,0,0,0
2015-10-23,ARL,7.019999981,0,0,0,0,0,0
2015-10-23,BH,243.4333344,5550,0,1,0,1,0
2015-10-23,CIX,7.30589819,3700,0,0,0,0,0
2015-10-23,FDBC,18.25578117,0,0,0,0,0,0
2015-10-23,GEF,24.16259193,286900,0,0,0,0,0
2015-10-23,NATH,30.56443405,19700,0,0,0,0,0
2015-10-23,NKSH,22.20532608,17000,0,0,0,0,0
2015-10-23,NWFL,13.73813248,2700,0,0,0,0,0
2015-10-23,PLBC,7.519081116,2700,0,0,0,0,0
2015-10-23,PNRG,71.0,0,0,0,0,0,0
2015-10-23,QRTEB,15.10489464,0,0,0,0,0,0
2015-10-23,RGCO,10.40685844,7800,0,0,0,0,0
2015-10-23,STRS,13.58956909,109800,0,0,0,0,0
2015-10-23,SWKH,14.19999981,380,0,0,0,0,0
2015-10-23,TCI,13.47000027,300,0,0,0,0,0
2015-10-23,VABK,16.41422272,105,0,0,0,0,0
2015-10-23,VALU,11.30714035,0,0,0,0,0,0
2015-10-26,ARL,7.079999924,2600,0,0,0,0,0
2015-10-26,BH,246.5,5100,0,1,0,1,0
2015-10-26,CIX,7.353430271,1700,0,0,0,0,0
2015-10-26,FDBC,17.73418808,150,0,1,0,0,0
2015-10-26,GEF,24.8014698,183800,0,0,0,1,0
2015-10-26,NATH,31.06549454,6900,0,0,0,0,0
2015-10-26,NKSH,22.60061455,9400,0,0,0,0,0
2015-10-26,NWFL,13.53294849,5400,0,0,0,0,0
2015-10-26,PLBC,7.355619907,6700,0,0,0,0,0
2015-10-26,PNRG,71.80000305,1400,0,0,0,0,0
2015-10-26,QRTEB,15.44975376,600,0,0,0,0,0
2015-10-26,RGCO,10.34638023,900,0,0,0,0,0
2015-10-26,STRS,13.50568199,2500,0,1,0,0,0
2015-10-26,SWKH,14.19999981,0,0,0,0,0,0
2015-10-26,TCI,12.5,1500,0,1,0,0,0
2015-10-26,VABK,16.41422272,0,0,0,0,0,0
2015-10-26,VALU,10.85605907,8300,0,0,0,0,0
2015-10-27,ARL,7.079999924,0,0,0,0,0,0
2015-10-27,BH,249.0533295,10350,0,0,0,1,0
2015-10-27,CIX,7.353430271,0,0,0,0,0,0
2015-10-27,FDBC,17.73418808,0,0,1,0,0,0
2015-10-27,GEF,25.26806259,193700,0,0,0,0,0
2015-10-27,NATH,31.69585228,10200,0,1,0,0,0
2015-10-27,NKSH,22.65608788,14500,0,0,0,0,0
2015-10-27,NWFL,13.70473194,1650,1,0,0,1,0
2015-10-27,PLBC,7.648124218,300,1,0,0,1,0
2015-10-27,PNRG,72.22000122,100,1,0,0,1,0
2015-10-27,QRTEB,15.44975376,0,0,0,0,0,0
2015-10-27,RGCO,10.41693592,1200,0,0,0,0,0
2015-10-27,STRS,14.26065826,2000,0,0,0,0,0
2015-10-27,SWKH,13.75,12200,0,0,0,0,0
2015-10-27,TCI,12.81999969,800,0,0,0,1,0
2015-10-27,VABK,16.41422272,1050,0,0,0,0,0
2015-10-27,VALU,11.57027245,11800,0,1,0,0,0
2015-10-28,ARL,7.079999924,0,0,0,0,0,0
2015-10-28,BH,244.6199951,5700,0,0,0,1,0
2015-10-28,CIX,7.353430271,0,0,0,0,0,0
2015-10-28,FDBC,17.48903847,150,0,0,0,0,0
2015-10-28,GEF,25.16039276,182600,0,1,0,0,0
2015-10-28,NATH,31.72819138,9300,0,0,0,0,0
2015-10-28,NKSH,22.87800217,5400,0,0,0,0,0
2015-10-28,NWFL,13.73336315,1650,0,0,0,0,0
2015-10-28,PLBC,7.648124218,0,0,0,0,0,0
2015-10-28,PNRG,72.22000122,0,0,0,0,0,0
2015-10-28,QRTEB,15.44975376,0,0,0,0,0,0
2015-10-28,RGCO,10.36149979,750,0,0,0,0,0
2015-10-28,STRS,13.88316917,2100,0,1,0,0,0
